Districts,Languages
JAISALMER,"""MARWARI"""
JODHPUR,"""MARWARI"""
BIKANER,"""MARWARI"""
WEST DISTRICT,"""MARWARI"""
NORTH DISTRICT,"""MARWARI"""
SOUTH DISTRICT,"""MARWARI"""
EAST DISTRICT,"""MARWARI"""
Shikarpur,"""SINDHI"""
Badin,"""SINDHI"""
Dadu,"""SINDHI"""
Ghotki,"""SINDHI"""
Hyderabad,"""SINDHI"""
Jacobabad,"""SINDHI"""
Mirpurkhas,"""SINDHI"""
Jamshoro,"""SINDHI"""
Kambar-Shahdadkot,"""SINDHI"""
Karachi,"""SINDHI"""
Kashmore,"""SINDHI"""
Khairpur,"""SINDHI"""
Larkana,"""SINDHI"""
Matiari,"""SINDHI"""
Naushehro Feroze,"""SINDHI"""
Sanghar,"""SINDHI"""
Shaheed Benazirabad,"""SINDHI"""
Sukkur,"""SINDHI"""
Tando Allah Yar,"""SINDHI"""
Tando Muhammad Khan,"""SINDHI"""
Tharparkar,"""SINDHI"""
Thatta,"""SINDHI"""
Sajawal,"""SINDHI"""
Umerkot,"""SINDHI"""
KANNIYAKUMARI,"""DRAVIDIAN"""
THIRUVARUR,"""DRAVIDIAN"""
PERAMBALUR,"""DRAVIDIAN"""
DINDIGUL,"""DRAVIDIAN"""
THANJAVUR,"""DRAVIDIAN"""
KARUR,"""DRAVIDIAN"""
THIRUVALLUR,"""DRAVIDIAN"""
ERODE,"""DRAVIDIAN"""
COIMBATORE,"""DRAVIDIAN"""
PUDUKKOTTAI,"""DRAVIDIAN"""
NAGAPATTINAM,"""DRAVIDIAN"""
MADURAI,"""DRAVIDIAN"""
TIRUCHIRAPPALLI,"""DRAVIDIAN"""
CUDDALORE,"""DRAVIDIAN"""
SIVAGANGA,"""DRAVIDIAN"""
THE NILGIRIS,"""DRAVIDIAN"""
TIRUNELVELI,"""DRAVIDIAN"""
TUTICORIN,"""DRAVIDIAN"""
KANCHIPURAM,"""DRAVIDIAN"""
TIRUVANNAMALAI,"""DRAVIDIAN"""
KRISHNAGIRI,"""DRAVIDIAN"""
VIRUDHUNAGAR,"""DRAVIDIAN"""
TIRUPPUR,"""DRAVIDIAN"""
THENI,"""DRAVIDIAN"""
NAMAKKAL,"""DRAVIDIAN"""
VILLUPURAM,"""DRAVIDIAN"""
RAMANATHAPURAM,"""DRAVIDIAN"""
DHARMAPURI,"""DRAVIDIAN"""
ARIYALUR,"""DRAVIDIAN"""
VELLORE,"""DRAVIDIAN"""
SALEM,"""DRAVIDIAN"""
TIRUPATHUR,"""DRAVIDIAN"""
RANIPET,"""DRAVIDIAN"""
CHENNAI,"""DRAVIDIAN"""
KALLAKURICHI,"""DRAVIDIAN"""
TENKASI,"""DRAVIDIAN"""
NAGARKURNOOL,"""DRAVIDIAN"""
KHAMMAM,"""DRAVIDIAN"""
NIZAMABAD,"""DRAVIDIAN"""
RANGAREDDI,"""DRAVIDIAN"""
WANAPARTHY,"""DRAVIDIAN"""
HANUMAKONDA,"""DRAVIDIAN"""
JAGITIAL,"""DRAVIDIAN"""
KOMARAM BHEEM ASIFABAD,"""DRAVIDIAN"""
JOGULAMBA,"""DRAVIDIAN"""
VIKARABAD,"""DRAVIDIAN"""
KARIMNAGAR,"""DRAVIDIAN"""
WARANGAL,"""DRAVIDIAN"""
MAHABUBABAD,"""DRAVIDIAN"""
MANCHERIAL,"""DRAVIDIAN"""
HYDERABAD,"""DRAVIDIAN"""
MEDAK,"""DRAVIDIAN"""
SURYAPET,"""DRAVIDIAN"""
NALGONDA,"""DRAVIDIAN"""
JAYASHANKAR,"""DRAVIDIAN"""
MAHBUBNAGAR,"""DRAVIDIAN"""
JANGOAN,"""DRAVIDIAN"""
YADADRI,"""DRAVIDIAN"""
MEDCHAL MALKAJGIRI,"""DRAVIDIAN"""
BHADRADRI,"""DRAVIDIAN"""
ADILABAD,"""DRAVIDIAN"""
RAJANNA,"""DRAVIDIAN"""
NIRMAL,"""DRAVIDIAN"""
KAMAREDDY,"""DRAVIDIAN"""
SANGAREDDY,"""DRAVIDIAN"""
PEDDAPALLI,"""DRAVIDIAN"""
SIDDIPET,"""DRAVIDIAN"""
MULUGU,"""DRAVIDIAN"""
NARAYANAPET,"""DRAVIDIAN"""
DHALAI,"""MARWARI"""
GOMATI,"""MARWARI"""
KHOWAI,"""MARWARI"""
WEST TRIPURA,"""MARWARI"""
SOUTH TRIPURA,"""MARWARI"""
UNAKOTI,"""MARWARI"""
NORTH TRIPURA,"""MARWARI"""
SEPAHIJALA,"""MARWARI"""
ALLAHABAD,"""MARWARI"""
GORAKHPUR,"""MARWARI"""
KUSHI NAGAR,"""BHOJPURI"""
BAHRAICH,"""MARWARI"""
CHITRAKOOT,"""MARWARI"""
MIRZAPUR,"""MARWARI"""
SANT KABEER NAGAR,"""MARWARI"""
MAHARAJGANJ,"""MARWARI"""
DEORIA,"""BHOJPURI"""
PRATAPGADH,"""MARWARI"""
CHANDAULI,"""BHOJPURI"""
AMBEDKAR NAGAR,"""MARWARI"""
JAUNPUR,"""MARWARI"""
GHAZIPUR,"""BHOJPURI"""
BASTI,"""MARWARI"""
SULTANPUR,"""MARWARI"""
BALLIA,"""BHOJPURI"""
GONDA,"""MARWARI"""
AZAMGARH,"""MARWARI"""
SONBHADRA,"""BHOJPURI"""
SIDDHARTH NAGAR,"""MARWARI"""
VARANASI,"""BHOJPURI"""
MAU,"""BHOJPURI"""
SANT RAVIDAS NAGAR,"""MARWARI"""
KANPUR DEHAT,"""MARWARI"""
FATEHPUR,"""MARWARI"""
BAREILLY,"""MARWARI"""
BUDAUN,"""MARWARI"""
SHAMLI,"""MARWARI"""
LUCKNOW,"""MARWARI"""
GHAZIABAD,"""BHOJPURI"""
KAUSHAMBI,"""MARWARI"""
UNNAO,"""MARWARI"""
BANDA,"""MARWARI"""
BAGHPAT,"""MARWARI"""
RAMPUR,"""MARWARI"""
ETAWAH,"""MARWARI"""
KANPUR NAGAR,"""MARWARI"""
AURAIYA,"""MARWARI"""
JHANSI,"""BUNDELI"""
SHAHJAHANPUR,"""MARWARI"""
AGRA,"""MARWARI"""
BARABANKI,"""MARWARI"""
